Species,Functional Number,E_Pauli,E_Elek,E_Orb,E_tot,E_Disp,E_rel_Elek,E_rel_Disp
Butane,17,906.12888,-609.94352,-725.96584,-443.504,-13.72352,45.6575526950421,3.09433962264151
Butane,4,940.85608,-615.96848,-743.99888,-435.84728,-16.736,45.2928870292887,3.83987712393204
Butane,0,905.4176,-611.11504,-726.7608,-445.21944,-12.7612,45.6780085063798,2.8662719669204
Butane,1,900.85704,-613.54176,-734.54304,-455.72128,-8.49352,45.512104283054,1.86375321336761
Difluoroethane,17,953.952,-617.72576,-786.00624,-457.43672,-7.65672,44.0059612518629,1.67383151925364
Difluoroethane,1,967.04792,-629.2736,-797.2612,-464.08928,-4.6024,44.1120398885467,0.991705733862243
Difluoroethane,14,894.79024,-602.41232,-743.58048,-452.2904,-1.08784,44.7559838358719,0.240518038852914
Difluoroethane,11,949.01488,-621.07296,-763.66368,-441.412,-5.69024,44.8513415518492,1.28909952606635
Ethanol,4,1512.22312,-679.56528,-1275.9108,-449.86368,-6.61072,34.751909621927,1.46949404761905
Ethanol,1,1483.18616,-676.9712,-1275.7016,-472.792,-3.30536,34.6689522176987,0.699115044247788
Ethanol,15,1474.56712,-664.71208,-1286.9984,-478.022,-0.87864,34.0579244110018,0.183807439824945
Phosphineborane,17,605.71768,-358.90352,-461.32784,-233.59272,-19.07904,43.7563762497449,8.16765180010747
Phosphineborane,1,580.19528,-351.456,-476.89232,-259.36616,-11.21312,42.428528134155,4.32327794805614
Phosphineborane,14,576.51336,-360.6608,-476.09736,-263.3828,-3.138,43.1021551077554,1.19142176330421
